code_boucle,nom_station,id_station
665,0665 - Bonduelle vers Nord,1
673,0673 - Pont de Pornic vers Sud,2
880,0880 - Madeleine vers Nord,3
944,0944 - Magellan vers Est,4
946,0946 - Magellan vers Est,5
949,0949 - avenue de la Libération vers Sud,6
9673,9673 -,7
786,0786 - 50 Otages Vers Nord,8
746,0746 - Chemin de halage Tortière vers Sud,9
988,0988 - Kennedy vers Est,10
666,0666 - Pont Audibert vers Sud,11
669,0669 - De Gaulle sortie Clémenceau vers Nord,12
670,0670 - Pont de Pirmil vers Sud,13
676,0676 - Pont Willy Brandt vers Beaulieu,14
996,0996 - Van Iseghem vers Nord,15
997,0997 - Van Iseghem vers Sud,16
744,0744 - Calvaire vers Est,17
679,0679 - Bd Malakoff vers Gare Sud,18
667,0667 - Entrée pont Audibert vers Nord,19
681,0681 - Stalingrad vers est,20
725,0725 - Pont Tabarly vers Sud,21
979,0979 - pont des 3 Continents vers Sud,22
9672,9672 -,23
881,0881 - Madeleine vers Sud,24
943,0943 - Magellan vers Ouest,25
950,0950 - avenue de la Libération vers Nord,26
959,0959 - Sorinières Vers Sud,27
1042,1042 - Guy Mollet vers Sud,28
1055,1055 -,29
785,0785 - 50 Otages Vers Sud,30
668,0668 - De Gaulle vers sud,31
675,0675 - Pont Haudaudine vers Nord,32
680,0680 - Stalingrad vers ouest,33
674,0674 - Pont Haudaudine vers Sud,34
677,0677 - Pont Willy Brandt vers Malakoff,35
960,0960 - Sorinières Vers Nord,36
981,0981 - Pont Tabarly vers Nord,37
986,0986 - Tremie vers Ouest,38
989,0989 - Kennedy vers Ouest,39
664,0664 - Bonduelle vers sud,40
672,0672 - Pont de Pornic vers Nord,41
948,0948 - Bd Malakoff vers Est,42
987,0987 - Tremie vers Est,43
890,0890 - Pont de Pirmil vers Sud,44
682,0682 - pont Anne de Bretagne vers Sud,45
742,0742 - Philippot vers Est,46
743,0743 - Philippot vers ouest,47
745,0745 - Calvaire vers Ouest,48
747,0747 - Chemin de halage Tortière vers Nord,49
1056,1056 -,50
9999,9999 -,51
683,0683 - pont Anne de Bretagne vers Nord,52
727,0727 - Pont Tabarly vers Nord,53
847,0847 - Entrée pont Audibert vers Sud,54
1054,1054 -,55
787,0787 - 50 Otages Vers Sud,56
788,0788 - 50 Otages Vers Nord,57
945,0945 - Magellan vers Ouest,58
947,0947 - Bd Malakoff vers Ouest,59
977,0977 - pont des 3 Continents vers Nord,60
980,0980 - Pont Tabarly vers Sud,61
994,0994 - Ceineray vers Est,62
995,0995 - Ceineray vers Ouest,63
1041,1041 - Guy Mollet vers Nord,64
1057,1057 -,65
8672,8672 -,66
8673,8673 -,67
9998,9998 -,68
